[2026-03-18 17:00:03.394] INFO  22920 [kground-preinit]org.hibernate.validator.internal.util.Version.<clinit>（）@21 : HV000001: Hibernate Validator 8.0.1.Final
[2026-03-18 17:00:03.458] INFO  22920 [           main]com.tacomall.apima.ApiMaApplication.logStarting（）@50 : Starting ApiMaApplication using Java 17.0.18 with PID 22920 (E:\毕业设计\code\tacomall\server\api\ma\build\classes\java\main started by Administrator in E:\毕业设计\code\tacomall\server\api\ma)
[2026-03-18 17:00:03.461] INFO  22920 [           main]com.tacomall.apima.ApiMaApplication.logStartupProfileInfo（）@659 : The following 1 profile is active: "dev"
[2026-03-18 17:00:04.732] INFO  22920 [           main]o.s.d.r.config.RepositoryConfigurationDelegate.multipleStoresDetected（）@292 : Multiple Spring Data modules found, entering strict repository configuration mode
[2026-03-18 17:00:04.736] INFO  22920 [           main]o.s.d.r.config.RepositoryConfigurationDelegate.registerRepositoriesIn（）@139 : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2026-03-18 17:00:04.782] INFO  22920 [           main]o.s.d.r.config.RepositoryConfigurationDelegate.registerRepositoriesIn（）@208 : Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
[2026-03-18 17:00:06.075] INFO  22920 [           main]o.s.boot.web.embedded.tomcat.TomcatWebServer.initialize（）@108 : Tomcat initialized with port 4002 (http)
[2026-03-18 17:00:06.086] INFO  22920 [           main]org.apache.coyote.http11.Http11NioProtocol.log（）@173 : Initializing ProtocolHandler ["http-nio-4002"]
[2026-03-18 17:00:06.088] INFO  22920 [           main]org.apache.catalina.core.StandardService.log（）@173 : Starting service [Tomcat]
[2026-03-18 17:00:06.088] INFO  22920 [           main]org.apache.catalina.core.StandardEngine.log（）@173 : Starting Servlet engine: [Apache Tomcat/10.1.16]
[2026-03-18 17:00:06.236] INFO  22920 [           main]o.a.c.core.ContainerBase.[Tomcat].[localhost].[/].log（）@173 : Initializing Spring embedded WebApplicationContext
[2026-03-18 17:00:06.237] INFO  22920 [           main]o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext（）@296 : Root WebApplicationContext: initialization completed in 2673 ms
[2026-03-18 17:00:08.164] INFO  22920 [           main]com.tacomall.common.config.RedisConfig.redisPoolFactory（）@44 : JedisPool injected successfully
